b2,m99,5764,1978,veli
k12,m148,1893,1901,umut
b2,m148,9438,1995,veli
b19,m298,4717,1951,mehmet
u75,m111,9951,1999,berk
a1,m99,6518,1936,mahmut
l12,m111,1422,1908,ali
b19,m78,4679,1830,mehmet
l12,m131,3037,1854,ali
a4,m198,3956,1910,osman
t9,m111,3941,1886,deniz
b2,m97,5440,1899,veli
b2,m97,5440,1911,veli
u75,m99,7387,1950,berk
u75,m12,5612,1911,berk
l12,m198,5687,1942,ali
b19,m148,1843,1818,mehmet
a1,m12,411,1932,mahmut
t9,m298,4831,1884,deniz
b19,m148,1843,2014,mehmet
u75,m131,3630,1954,berk
b2,m67,2250,1838,veli
v86,m12,7874,1985,mustafa
t9,m55,1402,1853,deniz
a4,m12,7406,1877,osman
b2,m97,5440,1821,veli
u75,m42,512,1951,berk
b19,m198,4169,1946,mehmet
a4,m148,936,1899,osman
t9,m148,532,1935,deniz
b19,m187,9999,2019,mehmet
k12,m12,1494,2019,umut
u75,m78,2585,1962,berk
a1,m43,1143,1911,mahmut
u75,m67,3325,1978,berk
a4,m42,3546,1854,osman
l12,m111,1422,2000,ali
v2,m42,6599,1853,kerem
a4,m12,7406,1962,osman
a1,m43,1143,2019,mahmut
t9,m187,6052,1956,deniz
b2,m148,9438,2016,veli
a4,m55,8917,1830,osman
v2,m111,2874,1827,kerem
a1,m187,1351,1955,mahmut
k12,m99,8391,1910,umut
u75,m12,5612,1857,berk
k12,m12,1494,1965,umut
b19,m131,2856,1883,mehmet
t9,m78,357,2019,deniz
b19,m148,1843,1944,mehmet
v2,m97,3541,2016,kerem
k12,m34,2889,1917,umut
b2,m111,4680,1883,veli
b2,m12,2553,1868,veli
a1,m131,7329,1986,mahmut
u75,m111,9951,1911,berk
t9,m198,6013,1842,deniz
v2,m298,24,1821,kerem
b2,m55,5009,1944,veli
v2,m99,7398,1951,kerem
u75,m99,7387,2002,berk
b19,m187,9999,1961,mehmet
l12,m131,3037,1886,ali
a1,m43,1143,1827,mahmut
k12,m67,2546,1970,umut
a1,m131,7329,2016,mahmut
v2,m55,7182,1937,kerem
v2,m97,3541,2003,kerem
u75,m78,2585,1838,berk
b19,m43,4599,1985,mehmet
a1,m148,976,1886,mahmut
k12,m187,6845,2016,umut
l12,m198,5687,1840,ali
k12,m99,8391,1882,umut
b2,m67,2250,1901,veli
u75,m99,7387,1895,berk
t9,m43,794,1886,deniz
v2,m198,7287,1842,kerem
b19,m42,9971,1838,mehmet
a1,m67,2144,1826,mahmut
u75,m12,5612,1851,berk
v86,m12,7874,1898,mustafa
v86,m43,3812,1836,mustafa
a4,m298,91,1885,osman
t9,m187,6052,1961,deniz
u75,m42,512,1872,berk
l12,m43,4735,1895,ali
b19,m34,1879,1886,mehmet
t9,m111,3941,1885,deniz
v2,m43,1213,1952,kerem
a4,m298,91,1939,osman
l12,m78,356,1858,ali
b19,m34,1879,1834,mehmet
l12,m42,9551,1919,ali
v86,m55,972,1830,mustafa
b2,m34,6004,2014,veli
a4,m12,7406,1854,osman
v86,m97,6276,1901,mustafa
k12,m148,1893,1889,umut
k12,m42,1238,1818,umut
v86,m111,1383,1939,mustafa
u75,m42,512,1821,berk
b2,m42,8758,1882,veli
b2,m12,2553,1858,veli
a1,m148,976,1830,mahmut
u75,m67,3325,1999,berk
b2,m97,5440,1978,veli
b2,m43,8130,1992,veli
b2,m97,5440,1964,veli
t9,m55,1402,1935,deniz
u75,m148,9258,1872,berk
b19,m198,4169,1936,mehmet
k12,m198,2680,1965,umut
u75,m12,5612,1882,berk
t9,m131,6399,1901,deniz
v2,m187,9645,1812,kerem
u75,m187,7486,1889,berk
l12,m78,356,1830,ali
v2,m67,7101,1962,kerem
v86,m111,1383,2008,mustafa
b19,m148,1843,1896,mehmet
k12,m198,2680,1838,umut
a1,m97,271,1868,mahmut
b2,m12,2553,1872,veli
a1,m34,3335,1995,mahmut
v86,m187,1525,1868,mustafa
v86,m43,3812,2016,mustafa
u75,m12,5612,1899,berk
a4,m12,7406,1919,osman
u75,m148,9258,1992,berk
l12,m298,6507,1899,ali
b19,m78,4679,1827,mehmet
b19,m43,4599,1885,mehmet
b2,m97,5440,1967,veli
v86,m12,7874,1899,mustafa
b2,m298,2283,1946,veli
b2,m78,7562,1985,veli
b19,m148,1843,1956,mehmet
a4,m43,4436,2002,osman
t9,m67,2322,1944,deniz
v86,m78,8761,1985,mustafa
a4,m78,4736,1827,osman
v2,m78,7360,2016,kerem
a1,m34,3335,1986,mahmut
b19,m34,1879,1970,mehmet
a4,m131,4222,1944,osman
u75,m34,2647,2014,berk
k12,m111,3461,1857,umut
b2,m111,4680,1954,veli
t9,m55,1402,1877,deniz
b19,m78,4679,1836,mehmet
v2,m187,9645,1854,kerem
v2,m43,1213,1857,kerem
l12,m111,1422,1885,ali
a4,m148,936,1955,osman
b2,m12,2553,2000,veli
b19,m187,9999,1886,mehmet
l12,m12,8996,1899,ali
u75,m42,512,1965,berk
a4,m298,91,1837,osman
v2,m67,7101,1932,kerem
b19,m42,9971,1995,mehmet
v86,m42,4409,1937,mustafa
k12,m198,2680,1908,umut
l12,m78,356,1836,ali
b2,m298,2283,1898,veli
u75,m97,7161,1992,berk
b2,m78,7562,2016,veli
b19,m111,4428,1986,mehmet
k12,m34,2889,1851,umut
a1,m78,6353,1837,mahmut
b19,m67,8960,1958,mehmet
v2,m111,2874,1964,kerem
a4,m99,1851,1882,osman
u75,m34,2647,1882,berk
a4,m43,4436,1827,osman
u75,m99,7387,1842,berk
v2,m131,8570,1937,kerem
u75,m97,7161,2019,berk
v2,m187,9645,1917,kerem
a1,m298,3319,1937,mahmut
a1,m67,2144,1978,mahmut
t9,m99,8161,2014,deniz
a1,m198,6349,1942,mahmut
v86,m42,4409,1965,mustafa
a4,m42,3546,2014,osman
a1,m111,2138,1883,mahmut
a4,m187,4651,1992,osman
b19,m148,1843,1826,mehmet
u75,m34,2647,1901,berk
v86,m42,4409,1987,mustafa
l12,m55,3786,1942,ali
t9,m298,4831,1967,deniz
b19,m198,4169,1965,mehmet
a1,m131,7329,2014,mahmut
k12,m55,844,1838,umut
a1,m43,1143,1833,mahmut
v86,m111,1383,1956,mustafa
b19,m12,7093,1886,mehmet
a1,m67,2144,1851,mahmut
t9,m67,2322,1842,deniz
a1,m42,1156,1857,mahmut
k12,m97,7221,1965,umut
a1,m55,3340,1840,mahmut
t9,m67,2322,1840,deniz
a1,m131,7329,1899,mahmut
k12,m78,8069,1970,umut
v86,m198,970,1898,mustafa
l12,m111,1422,1946,ali
l12,m34,3269,1911,ali
b2,m198,1193,1827,veli
t9,m148,532,1873,deniz
k12,m131,7345,1985,umut
a1,m97,271,1961,mahmut
l12,m55,3786,1901,ali
t9,m78,357,1970,deniz
a1,m55,3340,1951,mahmut
u75,m34,2647,2019,berk
k12,m78,8069,1895,umut
b19,m99,6921,1962,mehmet
k12,m187,6845,1838,umut
b19,m78,4679,1890,mehmet
v86,m78,8761,1899,mustafa
b19,m148,1843,1840,mehmet
l12,m111,1422,1920,ali
b19,m78,4679,1884,mehmet
b2,m43,8130,1999,veli
b2,m34,6004,1935,veli
l12,m55,3786,1883,ali
b19,m67,8960,1942,mehmet
b2,m198,1193,1884,veli
a4,m298,91,1970,osman
a1,m198,6349,1883,mahmut
v2,m99,7398,1857,kerem
t9,m78,357,1884,deniz
a1,m99,6518,1836,mahmut
b2,m131,6517,1958,veli
v2,m97,3541,1896,kerem
v2,m43,1213,1842,kerem
k12,m42,1238,1886,umut
k12,m34,2889,1818,umut
a4,m187,4651,1830,osman
v86,m78,8761,1895,mustafa
u75,m12,5612,1889,berk
l12,m298,6507,1830,ali
v86,m131,7440,1895,mustafa
b19,m78,4679,1821,mehmet
t9,m34,3067,1842,deniz
t9,m111,3941,1932,deniz
a4,m42,3546,1818,osman
k12,m43,5972,2013,umut
u75,m298,5597,1961,berk
u75,m198,832,1821,berk
k12,m198,2680,1939,umut
v2,m111,2874,1873,kerem
b19,m42,9971,1958,mehmet
a4,m111,1461,1886,osman
b2,m298,2283,1899,veli
a1,m111,2138,1895,mahmut
t9,m148,532,1929,deniz
b2,m99,5764,1836,veli
k12,m42,1238,1956,umut
l12,m34,3269,1826,ali
l12,m131,3037,1958,ali
v2,m12,6057,1955,kerem
l12,m12,8996,1999,ali
t9,m97,6355,1851,deniz
v86,m97,6276,1965,mustafa
t9,m111,3941,1910,deniz
u75,m67,3325,2014,berk
l12,m78,356,1986,ali
u75,m298,5597,1970,berk
a1,m198,6349,1964,mahmut
l12,m298,6507,1956,ali
a1,m12,411,1950,mahmut
k12,m42,1238,1919,umut
b2,m131,6517,1936,veli
t9,m55,1402,2002,deniz
l12,m34,3269,1837,ali
k12,m198,2680,1818,umut
t9,m34,3067,1936,deniz
v86,m187,1525,1942,mustafa
b2,m43,8130,1826,veli
a1,m42,1156,2003,mahmut
a1,m148,976,2000,mahmut
b2,m111,4680,1944,veli
k12,m67,2546,1886,umut
t9,m99,8161,1942,deniz
t9,m198,6013,1946,deniz
t9,m298,4831,1901,deniz
t9,m298,4831,1821,deniz
b19,m34,1879,2002,mehmet
b2,m298,2283,1917,veli
b19,m298,4717,1964,mehmet
t9,m131,6399,1959,deniz
v2,m148,8361,1911,kerem
a4,m148,936,2008,osman
u75,m111,9951,1818,berk
b19,m99,6921,1952,mehmet
b19,m34,1879,1999,mehmet
v86,m55,972,1992,mustafa
a4,m99,1851,1986,osman
v86,m298,8435,1935,mustafa
l12,m298,6507,2014,ali
k12,m111,3461,1999,umut
a1,m148,976,1944,mahmut
v2,m148,8361,1877,kerem
b19,m67,8960,1883,mehmet
v86,m78,8761,1932,mustafa
t9,m12,9685,1964,deniz
a4,m55,8917,1964,osman
a4,m298,91,1995,osman
t9,m97,6355,1950,deniz
v2,m34,3802,1946,kerem
k12,m78,8069,1896,umut
v2,m12,6057,2014,kerem
t9,m43,794,1935,deniz
k12,m97,7221,1873,umut
v86,m99,533,1978,mustafa
b2,m43,8130,1883,veli
b2,m97,5440,1945,veli
v2,m43,1213,1837,kerem
a1,m99,6518,1956,mahmut
k12,m34,2889,1959,umut
t9,m55,1402,1895,deniz
l12,m67,8862,1964,ali
t9,m12,9685,1952,deniz
u75,m99,7387,1899,berk
k12,m55,844,1899,umut
b2,m78,7562,1950,veli
u75,m43,4750,1937,berk
l12,m148,5398,1896,ali
l12,m99,6042,1911,ali
l12,m187,2452,1935,ali
b2,m111,4680,1951,veli
t9,m148,532,1896,deniz
b2,m198,1193,1818,veli
b19,m67,8960,1954,mehmet
l12,m187,2452,1959,ali
u75,m55,3904,1961,berk
a1,m55,3340,1995,mahmut
v86,m148,476,1952,mustafa
a4,m198,3956,1999,osman
a1,m42,1156,1833,mahmut
l12,m111,1422,1818,ali
